url,title,description,image,date,hnurl
https://www.tdpain.net/blog/a-year-of-reading,"I tracked everything I read on the internet for a year",Keeping a record of every article read on the internet is cool.,,2022-09-08T10:14:18.423350404Z,https://news.ycombinator.com/item?id=32759786
https://jacksoncunningham.medium.com/digital-exile-how-i-got-banned-for-life-from-airbnb-615434c6eeba,Digital Exile: How I Got Banned for Life from AirBnB,Leaving an offsite review is a bannable offense.,,2022-09-08T14:31:40.701358003Z,https://news.ycombinator.com/item?id=32761930
https://github.com/divamgupta/diffusionbee-stable-diffusion-ui,Diffusion Bee - Stable Diffusion GUI App for M1 Mac,Diffusion Bee is the easiest way to run Stable Diffusion locally on your M1 Mac.,,2022-09-12T08:08:03.728676964Z,https://news.ycombinator.com/item?id=32804695
https://staysaasy.com/career/2022/09/11/Dirty-Work.html,Build Your Career on Dirty Work,"The lamentable work that many people avoid are great places to look for high impact, low hanging fruit.",,2022-09-12T08:12:21.152668252Z,https://news.ycombinator.com/item?id=32800869
https://www.theatlantic.com/culture/archive/2022/09/rewatching-spirited-away-hayao-miyazaki/671486/,"Watching Spirited Away Again, and Again",Each viewing of Hayao Miyazaki’s animated masterpiece is a gift.,,2022-09-22T09:28:02.935640754Z,https://news.ycombinator.com/item?id=32918849
https://blog.frankel.ch/backend-for-frontend/,Discussing Backend For Front-end,BFF architecture to decouple clients and microservices.,,2022-09-22T09:36:17.328203238Z,https://news.ycombinator.com/item?id=32919425
https://jvns.ca/blog/2022/09/12/why-do-domain-names-end-with-a-dot-,Why do domain names sometimes end with a dot?,"Domain names ending with a dot are ""absolute"" domains.",,2022-09-23T12:16:28.667840707Z,https://news.ycombinator.com/item?id=32859415
https://spectrum.ieee.org/cryptokitties,The spectacular collapse of cryptokitties,TL;DR Kittys prices < gas fees,,2022-09-23T12:28:33.027664833Z,https://news.ycombinator.com/item?id=32856333
https://world.hey.com/jorge/aging-programmer-d448bdec,Aging programmer,Do people lose interest in programming as they age? NO.,,2022-09-30T12:35:17.236040435Z,https://news.ycombinator.com/item?id=32961933
https://www.poised.com/,AI-powered communication coach,AI everywhere.,,2022-10-05T09:37:22.355931101Z,https://news.ycombinator.com/item?id=33090580
https://jalammar.github.io/illustrated-stable-diffusion/,The Illustrated Stable Diffusion,How Stable Diffusion works by examples.,,2022-10-05T09:47:10.274257893Z,https://news.ycombinator.com/item?id=33084205
https://dsfantiquejewelry.com/blogs/interesting-facts/the-ancient-japanese-technique-that-produces-lumber-without-cutting-trees,The Ancient Japanese Technique That Produces Lumber Without Cutting Tr | DSF Antique Jewelry,"Daisugi is an ancient Japanese forestry technique in which planted cedars are pruned in a special way to produce ""shoots"" that eventually become perfect, straight, knot-free lumber.This is an ancient method, developed in the 14th century, which was originally used by people living in the Kitayama region of Japan becaus",http://cdn.shopify.com/s/files/1/0142/3405/8816/articles/cover_16_grande.jpg?v=1652662658,2022-11-23T09:57:07.684461973Z,https://news.ycombinator.com/item?id=33715443
https://www.theregister.com/2022/03/15/arch_linux_20/,Arch Linux turns 20 years old • The Register,"DIY distro might not be the best place to start, but you'll learn buckets using it",https://regmedia.co.uk/2022/03/14/collaboration.jpg,2022-11-25T10:33:09.2470382Z,https://news.ycombinator.com/item?id=33729445
https://fasterthanli.me/articles/the-http-crash-course-nobody-asked-for?utm_source=hackernewsletter&utm_medium=email&utm_term=fav#bugs-bugs-bugs,The HTTP crash course nobody asked for,"HTTP does a pretty good job staying out of everyone's way. If you're reading this article, there's a solid chance it was delivered to you over HTTP. Even if you're reading this ...",https://fasterthanli.me/img/logo-square.png,2022-11-25T10:54:18.763558195Z,
https://thevaluable.dev/vim-advanced/,A Vim Guide for Advanced Users,We continue our walk on the path leading to Vim mastery by reviewing crazy Vim functionalities which will increase even more your productivity.,,2022-12-01T10:01:36.284742266Z,https://news.ycombinator.com/item?id=26284618
